"BehaviorSpace results (NetLogo 6.3.0)"
"Modelo Melhorado.nlogo"
"M enegia 150"
"10/31/2022 19:42:12:965 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"green_food","10","10","10","10","10","10","10","10","10","10"
"show_experience","false","false","false","false","false","false","false","false","false","false"
"show_energy","true","true","true","true","true","true","true","true","true","true"
"num_experts","15","15","15","15","15","15","15","15","15","15"
"time_machines","5","5","5","5","5","5","5","5","5","5"
"num_basics","25","25","25","25","25","25","25","25","25","25"
"traps","1","1","1","1","1","1","1","1","1","1"
"shelters","5","5","5","5","5","5","5","5","5","5"
"yellow_food","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5"
"[reporter]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
"[final]","10","9","7","11","8","8","6","10","8","6"
"[min]","10","9","7","11","8","8","6","10","8","6"
"[max]","40","40","40","40","40","40","40","40","40","40"
"[mean]","14.985","13.008","12.853","15.366","14.324","11.599","12.19","13.435","13.12","11.606"
"[steps]","999","999","999","999","999","999","999","999","999","999"

"[all run data]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"40","40","40","40","40","40","40","40","40","40"
,"40","40","40","40","39","40","40","39","40","39"
,"40","40","40","39","39","40","40","39","39","39"
,"40","40","40","39","38","40","39","39","39","39"
,"40","40","40","39","38","39","39","38","39","39"
,"40","40","38","38","38","38","39","37","39","39"
,"40","40","36","38","38","38","39","36","38","39"
,"40","39","36","38","38","38","38","36","38","38"
,"40","39","36","37","38","38","38","36","38","37"
,"40","39","36","37","38","38","37","35","38","36"
,"40","38","36","37","38","36","37","35","37","35"
,"40","38","36","37","38","36","37","35","35","35"
,"40","38","36","37","38","36","36","34","35","35"
,"40","37","36","37","36","36","34","34","35","35"
,"40","37","36","37","36","36","33","34","34","35"
,"40","37","36","37","36","36","33","33","34","35"
,"40","37","36","37","35","35","32","33","34","34"
,"40","37","36","35","34","35","32","32","34","34"
,"40","37","36","35","34","35","32","31","34","34"
,"40","37","35","35","34","33","32","29","34","33"
,"40","37","35","35","34","33","32","29","33","32"
,"40","36","35","35","33","33","32","29","33","32"
,"39","36","34","35","32","33","32","28","33","32"
,"38","35","34","35","32","33","32","28","33","32"
,"38","35","34","35","32","31","31","28","33","32"
,"37","35","34","35","32","31","31","28","33","32"
,"37","35","34","35","32","31","29","27","32","32"
,"37","35","33","35","32","31","29","27","32","32"
,"37","35","33","35","32","31","29","27","32","32"
,"37","35","33","35","32","31","29","27","31","31"
