"BehaviorSpace results (NetLogo 6.3.0)"
"Modelo Melhorado.nlogo"
"M refugios 10"
"10/31/2022 19:52:36:086 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"green_food","10","10","10","10","10","10","10","10","10","10"
"show_experience","false","false","false","false","false","false","false","false","false","false"
"show_energy","true","true","true","true","true","true","true","true","true","true"
"num_experts","15","15","15","15","15","15","15","15","15","15"
"time_machines","5","5","5","5","5","5","5","5","5","5"
"num_basics","25","25","25","25","25","25","25","25","25","25"
"traps","1","1","1","1","1","1","1","1","1","1"
"shelters","10","10","10","10","10","10","10","10","10","10"
"yellow_food","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5"
"[reporter]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
"[final]","4","10","7","3","3","3","7","3","7","5"
"[min]","4","10","7","3","3","3","7","3","7","5"
"[max]","40","40","40","40","40","40","40","40","40","40"
"[mean]","8.037","14.036","12.649","6.439","9.229","6.73","11.217","8.912","14.419","8.284"
"[steps]","999","999","999","999","999","999","999","999","999","999"

"[all run data]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"40","40","40","40","40","40","40","40","40","40"
,"39","40","39","40","39","40","40","40","40","40"
,"38","39","39","39","37","38","38","39","40","38"
,"37","39","39","38","37","36","38","38","40","38"
,"37","39","39","38","35","35","38","37","39","37"
,"37","39","39","37","34","35","38","37","39","36"
,"36","39","39","37","34","35","36","37","38","34"
,"34","38","39","37","34","35","33","36","38","34"
,"34","38","38","37","34","35","33","36","38","32"
,"34","37","38","37","32","35","33","36","37","32"
,"33","37","38","34","30","35","31","36","37","29"
,"32","36","38","34","28","35","31","36","36","29"
,"32","36","37","33","27","35","31","36","36","28"
,"32","35","37","32","27","35","31","35","35","28"
,"32","34","36","32","26","35","30","35","35","26"
,"32","34","35","32","25","35","30","35","35","26"
,"29","34","34","32","25","33","28","35","35","25"
,"28","34","34","30","25","32","28","35","34","25"
,"28","32","33","29","25","32","28","33","34","25"
,"27","32","31","29","25","31","28","32","34","25"
,"27","32","31","29","25","31","26","31","34","25"
,"27","32","31","29","25","31","25","31","34","25"
,"26","32","31","29","25","30","24","30","34","25"
,"26","32","31","29","25","29","23","30","34","24"
,"25","32","31","29","24","29","23","29","34","23"
,"25","32","31","29","24","29","22","29","33","23"
,"24","31","31","29","24","28","22","29","33","22"
,"23","31","31","27","24","28","21","29","32","20"
,"23","30","30","27","24","27","21","29","32","20"
,"23","30","30","26","24","26","21","29","32","19"
