"BehaviorSpace results (NetLogo 6.3.0)"
"Modelo Melhorado.nlogo"
"M traps 2"
"10/31/2022 19:59:15:286 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"green_food","10","10","10","10","10","10","10","10","10","10"
"show_experience","false","false","false","false","false","false","false","false","false","false"
"show_energy","true","true","true","true","true","true","true","true","true","true"
"num_experts","15","15","15","15","15","15","15","15","15","15"
"time_machines","5","5","5","5","5","5","5","5","5","5"
"num_basics","25","25","25","25","25","25","25","25","25","25"
"traps","2","2","2","2","2","2","2","2","2","2"
"shelters","10","10","10","10","10","10","10","10","10","10"
"yellow_food","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5"
"[reporter]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
"[final]","3","2","1","0","0","2","2","3","4","2"
"[min]","3","2","1","0","0","2","2","3","4","2"
"[max]","40","40","40","40","40","40","40","40","40","40"
"[mean]","7.5","7.275","5.195","4.483","4.294","5.898","5.311","4.934","9.748","5.963"
"[steps]","999","999","999","999","999","999","999","999","999","999"

"[all run data]","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles","count turtles"
,"40","40","40","40","40","40","40","40","40","40"
,"40","39","39","40","40","39","40","39","40","38"
,"39","33","36","38","39","38","39","35","40","37"
,"37","32","34","36","37","37","38","34","39","36"
,"36","29","34","34","35","36","38","33","37","35"
,"35","29","32","34","34","33","37","31","36","33"
,"35","28","31","30","33","32","34","30","36","30"
,"35","26","30","29","33","32","34","29","36","30"
,"33","24","29","29","33","32","32","27","36","28"
,"33","24","29","27","33","30","30","25","36","28"
,"33","24","27","26","33","30","29","23","35","27"
,"33","24","26","26","32","29","28","22","34","27"
,"33","24","26","25","31","28","28","22","34","27"
,"33","23","25","23","30","27","27","21","34","27"
,"31","22","25","23","29","27","26","20","34","27"
,"31","21","24","23","29","27","26","19","33","27"
,"31","20","24","23","28","27","25","19","31","26"
,"30","20","24","21","27","27","24","18","31","24"
,"30","20","24","20","25","27","24","18","31","23"
,"30","20","24","20","25","26","24","18","29","23"
,"30","19","24","20","25","26","23","18","29","22"
,"25","19","24","20","25","25","22","18","28","22"
,"24","19","24","18","25","23","20","18","28","21"
,"24","18","23","18","25","23","20","17","28","19"
,"24","18","22","18","25","23","20","17","28","18"
,"24","18","21","18","25","23","19","17","28","18"
,"24","18","19","18","25","23","19","16","28","18"
,"23","18","19","18","24","23","18","16","28","18"
,"22","18","19","18","24","21","17","16","28","18"
,"21","18","19","18","24","21","17","15","28","18"
